City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,San policarpo,Ph,81.05,overcast clouds,12.1791,125.5072,Agapita M. Nicart
264,Dargaville,Nz,49.98,few clouds,-35.9333,173.8833,Parkview Motel
265,Mitsamiouli,Km,77.29,few clouds,-11.3847,43.2844,Foyer ADM
266,Samana,Do,84.16,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
268,Lakes entrance,Au,44.17,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
269,Prince rupert,Ca,60.49,mist,54.3161,-130.3201,Crest Hotel
270,Bangkal,Ph,78.64,light rain,6.0667,121.0667,JB's Resort
271,Vila,Pt,68.88,broken clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
272,Sola,Vu,80.51,scattered clouds,-13.8833,167.55,Leumerus Bungalows
273,Haapiti,Pf,73.13,scattered clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
274,Pierre,Us,74.32,broken clouds,44.3683,-100.351,Ramkota Hotel
275,Mehriz,Ir,93.7,scattered clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
276,Dingle,Ph,79.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
278,Senj,Hr,93.87,clear sky,44.9894,14.9058,Roza Guest House
279,Savannah bight,Hn,82.27,overcast clouds,16.45,-85.85,Villa on Dunbar Rock
280,Cayenne,Gf,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
281,Lagoa,Pt,64.67,clear sky,39.05,-27.9833,Casa Das Faias
282,Hofn,Is,48.72,overcast clouds,64.2539,-15.2082,Hótel Höfn
283,Hovd,Mn,56.61,scattered clouds,48.0056,91.6419,Hotel Khovd
284,Vao,Nc,72.43,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
286,Cabo san lucas,Mx,92.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
287,Omboue,Ga,73.53,broken clouds,-1.5746,9.2618,Hotel Olako
288,Lorengau,Pg,80.85,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
